Siret;UAI validée;Raison sociale;Enseigne;numero_declaration_activite;etat_administratif;Nature;Adresse;Académie;Région;Qualiopi;Réseaux;Réseaux à jour;Nombre de relations;Nombre de lieux de formation;Date d'import;UAI probable;UAI potentielle 1;
13001727000385;0754497F;CHAMBRE DE COMMERCE ET D INDUSTRIE DE REGION PARIS ILE DE FRANCE;CFA DES SCIENCES;11753201275;actif;formateur;4 Place Jussieu 75005 Paris;Paris;Île-de-France;Oui;;cci;27;1;17/12/2021;0754497F;0753547Y;
18640002400136;0383471S;CHAMBRE COMMERCE & INDUSTRIE PAU BEARN;CNPC ALPES;7264P000564;actif;responsable_formateur;32 Chemin du Vieux Chêne 38240 Meylan;Grenoble;Auvergne-Rhône-Alpes;Oui;cci;cci;6;1;17/12/2021;0383471S;0383471S;
18050001900039;0050666X;CHAMB COMMERCE ET INDUSTRIE HAUTES ALPES;CCI HAUTES-ALPES FORMATION;9305P001405;actif;responsable_formateur;36 Avenue de la République 05100 Briançon;Aix-Marseille;Provence-Alpes-Côte d'Azur;Oui;cci;cci;1;1;17/12/2021;0050666X;0050666X;
53379925000014;0401071X;ECOLE SUPERIEURE DE MANAGEMENT DES LANDES;;72400095540;actif;responsable_formateur;293 Avenue du Maréchal Foch 40000 Mont-de-Marsan;Bordeaux;Nouvelle-Aquitaine;Oui;;cci;;1;17/12/2021;0401071X;0401071X;
18150001800039;0150786Y;CHAMBRE DE COMMERCE ET D'INDUSTRIE TERRITORIALE DU CANTAL;;8315P000115;actif;inconnue;44 Boulevard du Pont Rouge 15000 Aurillac;Clermont-Ferrand;Auvergne-Rhône-Alpes;Oui;;cci;1;;17/12/2021;0150786Y;0150786Y;
13001833600011;0180974L;INSTITUT NATIONAL DES SCIENCES APPLIQUEES CENTRE VAL DE LOIRE;;24180125618;actif;inconnue;88 Boulevard Lahitolle 18000 Bourges;Orléans-Tours;Centre-Val de Loire;Oui;;;2;;17/12/2021;;;
44492238900010;0142321X;ADEN FORMATIONS ORGANISATION;;25140183914;actif;responsable_formateur;7 Rue Professeur Joseph Rousselot 14000 Caen;Normandie;Normandie;Oui;cci;cci;6;5;17/12/2021;0142321X;0142321X;
18974211700063;9741084K;CHAMBRE DE COMMERCE ET D'INDUSTRIE DE LA REUNION;CCI REUNION-POLE FORMATION CENTHOR;98970017797;actif;responsable_formateur;1 route de l'éperon 97435 Saint-Paul;La Réunion;La Réunion;Oui;;cci;6;2;17/12/2021;9741084K;9741084K;
18972002200202;9720826R;CHAMBRE COMMERCE ET INDUSTRIE MARTINIQUE;CENTRE DE FORMATION DES APPRENTIS;9797P000897;actif;responsable_formateur;Rue Aubin Edmond 97233 Schœlcher;Martinique;Martinique;Oui;;cci;1;1;17/12/2021;9720826R;9720490A;
13001727000690;0941906L;CHAMBRE DE COMMERCE ET D INDUSTRIE DE REGION PARIS ILE DE FRANCE;CFI - ECOLE CONNECTEE  FUTUR INDUSTRIE SITE ORLY;11940943894;actif;responsable_formateur;5 Place de la Gare des Saules 94310 Orly;Créteil;Île-de-France;Oui;;cci;27;;17/12/2021;0941906L;0781023N;
18860003500037;0860995P;CHAMBRE DE COMMERCE ET D'INDUSTRIE TERRITORIALE DE LA VIENNE;CTR DE FORMATION D'APPRENTIS;54860109086;actif;responsable_formateur;120 Rue du Porteau 86000 Poitiers;Poitiers;Nouvelle-Aquitaine;Oui;;cci;2;4;17/12/2021;0860995P;0860841X;
30340844700033;0801558J;INTERFOR;;22800001380;actif;responsable_formateur;2 Rue Vadé 80000 Amiens;Amiens;Hauts-de-France;Oui;;cci;1;1;17/12/2021;0801558J;0801558J;
